N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"73,300",300,+0.41%,100,"4,375,851","5,969,783",52.10,"5,353,260",14.21,9.99,
2,LG에너지솔루션,"562,000","14,000",+2.55%,500,"1,315,080","234,000",4.08,"1,393,796",381.02,N/A,
3,SK하이닉스,"125,000","2,000",+1.63%,"5,000","910,003","728,002",49.93,"1,901,110",11.30,9.53,
4,삼성전자우,"67,300",200,+0.30%,100,"553,803","822,887",74.79,"255,235",13.05,N/A,
5,삼성바이오로직스,"836,000","73,000",+9.57%,"2,500","553,139","66,165",10.47,"71,050",134.75,N/A,
6,NAVER,"324,000","3,000",-0.92%,100,"531,519","164,049",55.17,"200,873",3.21,15.22,
7,LG화학,"641,000","2,000",+0.31%,"5,000","452,497","70,592",49.34,"256,807",16.70,2.93,
8,현대차,"185,500","1,000",-0.54%,"5,000","396,354","213,668",27.78,"394,884",9.40,2.04,
9,카카오,"88,200",200,+0.23%,100,"393,289","445,906",28.68,"860,498",34.72,2.70,
10,삼성SDI,"566,000","2,000",-0.35%,"5,000","389,207","68,765",44.49,"400,036",35.50,4.54,
11,기아,"79,200","1,000",+1.28%,"5,000","321,048","405,363",35.15,"877,346",7.18,5.05,
12,KB금융,"60,400",800,-1.31%,"5,000","251,148","415,808",71.39,"426,746",5.77,8.53,
13,POSCO,"268,000",500,-0.19%,"5,000","233,661","87,187",52.57,"174,272",4.01,3.61,
14,셀트리온,"162,000","5,000",+3.18%,"1,000","223,474","137,947",20.60,"263,999",41.22,16.68,
15,현대모비스,"229,500",500,-0.22%,"5,000","217,045","94,573",34.26,"106,804",9.24,4.66,
16,카카오뱅크,"44,050","1,700",+4.01%,"5,000","209,308","475,159",15.40,"2,464,264",142.56,5.08,
17,신한지주,"39,800",100,+0.25%,"5,000","205,607","516,600",61.32,"817,001",5.28,8.20,
18,LG전자,"124,500",500,-0.40%,"5,000","203,742","163,648",28.62,"275,177",17.96,13.23,
19,삼성물산,"108,000","2,000",+1.89%,100,"201,838","186,887",15.61,"115,118",12.29,3.81,
20,SK이노베이션,"218,000","8,500",-3.75%,"5,000","201,575","92,466",23.75,"607,710","-6,411.76",-13.58,
21,카카오페이,"133,500","5,500",+4.30%,500,"176,064","131,883",42.84,"264,983",-664.18,-17.97,
22,SK,"222,000","1,000",-0.45%,200,"164,612","74,149",21.79,"55,681",25.94,1.11,
23,LG생활건강,"976,000","6,000",+0.62%,"5,000","152,434","15,618",42.55,"26,774",20.31,17.92,
24,크래프톤,"304,500",500,-0.16%,100,"149,120","48,972",29.29,"268,438",23.87,61.86,
25,한국전력,"22,350",450,+2.05%,"5,000","143,479","641,964",14.50,"1,279,108",-13.17,2.91,
26,하나금융지주,"46,150",100,-0.22%,"5,000","138,562","300,242",69.79,"453,913",4.31,8.96,
27,삼성생명,"63,900",0,0.00%,500,"127,800","200,000",12.68,"96,353",8.17,3.53,
28,SK바이오사이언스,"166,500","3,500",-2.06%,500,"127,372","76,500",5.43,"408,524",64.11,13.25,
29,삼성전기,"168,000",0,0.00%,"5,000","125,485","74,694",29.60,"221,940",12.91,10.92,
30,SK텔레콤,"55,900",500,+0.90%,100,"122,328","218,833",44.93,"257,961",8.67,6.44,
31,LG,"76,700",500,+0.66%,"5,000","120,650","157,301",36.22,"137,991",5.06,7.50,
32,엔씨소프트,"548,000","8,000",+1.48%,500,"120,308","21,954",43.71,"71,408",33.83,20.83,
33,HMM,"24,100",900,+3.88%,"5,000","117,859","489,039",10.36,"2,678,335",3.04,8.93,
34,삼성에스디에스,"143,000","3,500",+2.51%,500,"110,650","77,378",11.35,"54,153",16.28,6.71,
35,우리금융지주,"14,950",150,-0.99%,"5,000","108,845","728,061",32.12,"906,499",4.57,5.87,
36,하이브,"262,000","12,500",+5.01%,500,"108,346","41,353",16.11,"216,789",93.21,12.52,
37,KT&G,"78,200",400,-0.51%,"5,000","107,363","137,292",36.06,"96,406",9.02,13.22,
38,대한항공,"30,050",250,+0.84%,"5,000","104,520","347,821",11.83,"1,722,194",14.11,-7.22,
39,삼성화재,"214,000",500,+0.23%,500,"101,382","47,375",48.54,"37,374",9.25,4.96,
40,S-Oil,"89,800","1,100",-1.21%,"2,500","101,099","112,583",77.82,"120,968",8.65,-13.07,
41,고려아연,"528,000","9,000",-1.68%,"5,000","99,634","18,870",18.17,"25,783",13.20,8.37,
42,아모레퍼시픽,"160,500","1,000",+0.63%,500,"93,881","58,493",29.73,"66,089",61.90,0.78,
43,두산중공업,"17,550",250,+1.45%,"5,000","91,650","522,224",7.15,"3,253,281",52.08,-37.20,
44,SK아이이테크놀로지,"126,000","6,000",+5.00%,"1,000","89,835","71,298",10.53,"447,103",82.84,11.00,
45,넷마블,"103,500",500,+0.49%,100,"88,962","85,954",22.93,"113,140",38.28,6.35,
46,현대중공업,"98,700","2,800",-2.76%,"5,000","87,619","88,773",2.21,"142,987",-10.77,-7.86,
47,포스코케미칼,"112,000",500,+0.45%,500,"86,759","77,463",6.42,"117,638",62.53,2.96,
48,SK스퀘어,"59,000",800,+1.37%,100,"83,466","141,468",37.23,"621,702",N/A,N/A,
49,KT,"31,750",150,-0.47%,"5,000","82,903","261,112",39.06,"238,588",8.11,4.76,
50,기업은행,"10,650",0,0.00%,"5,000","79,268","744,301",13.48,"426,348",3.94,6.44,
51,LG이노텍,"332,500","2,500",-0.75%,"5,000","78,693","23,667",22.75,"270,024",10.54,10.20,
52,롯데케미칼,"213,000","9,500",+4.67%,"5,000","73,007","34,275",24.98,"129,188",5.36,1.22,
53,LG디스플레이,"19,300",0,0.00%,"5,000","69,058","357,816",17.69,"1,282,341",4.37,-0.79,
54,에스디바이오센서,"65,200","5,000",-7.12%,500,"67,333","103,271",10.36,"2,500,280",9.88,139.97,
55,SK바이오팜,"85,000","6,200",+7.87%,500,"66,566","78,313",5.98,"259,961",-164.73,-135.18,
56,F&F,"849,000","17,000",+2.04%,500,"65,045","7,661",14.75,"6,107",N/A,N/A,
57,한화솔루션,"33,850",500,+1.50%,"5,000","64,748","191,278",18.37,"435,533",8.65,5.30,
58,현대글로비스,"169,000","1,000",-0.59%,500,"63,375","37,500",42.87,"40,035",9.11,12.45,
59,한온시스템,"11,200",50,+0.45%,100,"59,786","533,800",17.50,"322,986",20.44,5.09,
60,메리츠금융지주,"44,150",650,-1.45%,500,"59,166","134,011",8.87,"189,934",8.32,16.06,
61,LG유플러스,"13,500",150,-1.10%,"5,000","58,943","436,611",35.65,"214,728",15.02,6.46,
62,한국조선해양,"83,100",800,+0.97%,"5,000","58,812","70,773",19.62,"118,049",-4.56,-7.42,
63,메리츠화재,"48,700",750,-1.52%,500,"58,744","120,625",12.40,"189,412",10.11,16.91,
64,CJ제일제당,"390,000","11,000",+2.90%,"5,000","58,711","15,054",22.00,"46,502",13.30,13.50,
65,KODEX 200,"36,905",205,+0.56%,0,"56,834","154,000",11.87,"1,380,940",N/A,N/A,
66,맥쿼리인프라,"13,850",50,-0.36%,0,"56,071","404,846",13.49,"84,563",N/A,N/A,
67,강원랜드,"26,050",300,-1.14%,500,"55,732","213,940",19.39,"677,758",-169.16,-7.92,
68,미래에셋증권,"8,700",50,+0.58%,"5,000","55,273","635,316",13.11,"365,030",5.95,8.94,
69,SKC,"142,500","4,500",+3.26%,"5,000","53,962","37,868",16.41,"113,551",29.03,2.21,
70,코웨이,"72,400",800,-1.09%,500,"53,431","73,800",60.78,"60,218",11.99,31.51,
71,현대제철,"39,400",300,+0.77%,"5,000","52,578","133,446",20.62,"196,503",6.03,-2.59,
72,삼성중공업,"5,460",0,0.00%,"1,000","48,048","880,000",13.62,"1,198,213",-2.22,-33.06,
73,현대건설,"41,850",150,+0.36%,"5,000","46,602","111,356",22.85,"161,002",27.83,1.84,
74,일진머티리얼즈,"99,800","1,900",+1.94%,500,"46,019","46,111",13.12,"172,020",72.42,7.23,
75,금호석유,"151,000","3,000",+2.03%,"5,000","45,747","30,296",19.79,"84,162",2.70,20.18,
76,삼성엔지니어링,"23,000",50,+0.22%,"5,000","45,080","196,000",35.96,"397,662",12.73,17.32,
77,DB손해보험,"63,500",300,+0.47%,500,"44,958","70,800",43.00,"52,161",5.64,9.08,
78,한국타이어앤테크놀로지,"35,500",350,+1.00%,500,"43,976","123,875",41.23,"134,528",6.66,5.12,
79,한국금융지주,"78,100","1,100",+1.43%,"5,000","43,522","55,726",34.28,"107,096",2.67,16.27,
80,유한양행,"57,900",700,+1.22%,"1,000","42,401","73,231",17.30,"51,693",43.90,11.06,
81,메리츠증권,"6,090",60,-0.98%,"1,000","41,517","681,731",13.25,"616,562",6.18,13.08,
82,오리온,"103,000","1,000",+0.98%,500,"40,722","39,536",37.08,"37,475",17.13,15.50,
83,현대중공업지주,"50,000",550,+1.11%,"1,000","39,497","78,993",16.82,"152,640",-11.59,-8.12,
84,두산밥캣,"39,050",700,+1.83%,500,"39,147","100,249",25.23,"110,642",10.68,6.15,
85,쌍용C&E,"7,750",30,-0.39%,100,"39,049","503,860",3.34,"163,588",18.95,7.92,
86,이마트,"139,500",500,-0.36%,"5,000","38,887","27,876",33.68,"30,224",2.81,4.05,
87,삼성증권,"42,500",600,+1.43%,"5,000","37,952","89,300",29.64,"141,353",4.00,9.89,
88,한진칼,"56,400",500,+0.89%,"2,500","37,641","66,739",14.65,"37,749",-64.24,-19.55,
89,GS,"40,300",350,+0.88%,"5,000","37,445","92,915",18.84,"73,061",3.66,-2.82,
90,삼성카드,"32,100",350,+1.10%,"5,000","37,191","115,859",7.06,"69,954",7.92,5.69,
91,한국항공우주,"37,250",100,+0.27%,"5,000","36,309","97,475",13.23,"387,435",253.40,6.39,
92,아모레G,"42,950",750,+1.78%,500,"35,416","82,458",15.92,"50,565",24.12,0.31,
93,NH투자증권,"11,900",200,+1.71%,"5,000","35,347","297,034",17.60,"299,360",4.37,10.32,
94,현대차2우B,"95,000",400,+0.42%,"5,000","34,661","36,485",62.80,"17,446",4.81,N/A,
95,KCC,"382,000","18,500",-4.62%,"5,000","33,946","8,886",11.52,"55,054",4.82,12.79,
96,현대오토에버,"123,500","1,500",-1.20%,500,"33,869","27,424",1.96,"31,743",44.83,11.09,
97,한국가스공사,"36,600",0,0.00%,"5,000","33,787","92,313",10.36,"64,567",7.60,-2.24,
98,GS건설,"39,200",250,-0.63%,"5,000","33,548","85,581",26.01,"167,711",9.55,7.68,
99,한미약품,"257,000","4,500",+1.78%,"2,500","31,657","12,318",13.20,"10,281",40.94,1.65,
100,한미사이언스,"46,050",150,+0.33%,500,"31,601","68,624",2.36,"24,105",58.37,3.47,
101,DB하이텍,"70,400","1,600",-2.22%,"5,000","31,257","44,399",25.24,"372,804",14.71,23.07,
102,호텔신라,"78,700","2,200",+2.88%,"5,000","30,888","39,248",13.22,"607,333",-30.21,-36.74,
103,TIGER 차이나전기차SOLACTIVE,"15,065",670,-4.26%,0,"30,817","204,560",0.15,"2,061,514",N/A,N/A,
104,GS리테일,"29,100",300,+1.04%,"1,000","30,473","104,718",8.17,"81,396",2.94,7.50,
105,한전기술,"77,900","1,100",-1.39%,200,"29,773","38,220",1.95,"308,906",292.86,N/A,
106,롯데지주,"28,200",0,0.00%,200,"29,584","104,909",7.73,"46,031",14.70,-3.03,
107,현대미포조선,"72,400","2,300",+3.28%,"5,000","28,918","39,942",10.51,"271,007",-18.81,-0.84,
108,한화시스템,"15,300",150,-0.97%,"5,000","28,905","188,919",2.07,"201,824",18.55,9.35,
109,BGF리테일,"164,000","1,500",-0.91%,"1,000","28,346","17,284",32.17,"13,187",20.52,18.60,
110,CJ대한통운,"122,000","1,000",+0.83%,"5,000","27,831","22,812",21.05,"13,356",94.50,3.89,
111,팬오션,"5,170",90,+1.77%,"1,000","27,637","534,570",11.65,"1,094,387",8.88,3.25,
112,한화생명,"3,160",5,-0.16%,"5,000","27,446","868,530",8.02,"628,868",3.59,1.90,
113,동서,"27,300",250,+0.92%,500,"27,218","99,700",2.78,"32,130",25.63,8.61,
114,BNK금융지주,"8,330",20,-0.24%,"5,000","27,150","325,935",40.20,"266,823",3.33,6.11,
115,제일기획,"22,650",100,+0.44%,200,"26,057","115,041",31.38,"84,545",13.35,16.11,
116,한솔케미칼,"228,000","5,000",+2.24%,"5,000","25,844","11,335",41.98,"32,295",17.79,24.50,
117,에스원,"67,700","1,000",+1.50%,500,"25,725","37,999",52.91,"26,640",16.93,10.48,
118,한화에어로스페이스,"50,700",300,+0.60%,"5,000","25,669","50,630",17.14,"210,024",9.20,4.78,
119,포스코인터내셔널,"20,100",400,-1.95%,"5,000","24,798","123,375",6.99,"328,365",8.12,7.69,
120,신세계,"249,000","3,500",+1.43%,"5,000","24,514","9,845",24.92,"21,879",9.36,-2.81,
121,키움증권,"93,100",100,+0.11%,"5,000","24,410","26,220",25.33,"28,423",2.68,27.63,
122,롯데쇼핑,"86,100","1,600",+1.89%,"5,000","24,357","28,289",11.17,"73,635",-9.15,-7.70,
123,CJ,"83,300",200,-0.24%,"5,000","24,304","29,177",17.22,"24,523",72.18,1.89,
124,하이트진로,"34,650",900,+2.67%,"5,000","24,301","70,134",4.45,"679,403",47.21,8.23,
125,두산퓨얼셀,"36,800",0,0.00%,100,"24,102","65,494",13.62,"139,334",736.00,4.18,
126,LG화학우,"312,000","3,500",+1.13%,"5,000","23,989","7,689",71.90,"8,021",8.13,N/A,
127,현대해상,"26,750",150,-0.56%,500,"23,914","89,400",27.39,"152,984",6.25,7.13,
128,만도,"50,500",100,+0.20%,"1,000","23,713","46,957",18.95,"130,836",10.64,0.37,
129,대우건설,"5,680",70,-1.22%,"5,000","23,607","415,623",10.99,"799,846",4.83,11.06,
130,대우조선해양,"21,500",0,0.00%,"5,000","23,067","107,291",4.71,"117,478",-1.56,2.27,
131,현대차우,"94,600",600,-0.63%,"5,000","23,041","24,357",58.55,"8,843",4.79,N/A,
132,SK케미칼,"129,500",500,-0.38%,"5,000","22,819","17,621",17.91,"27,835",61.73,30.49,
133,한화,"29,650",50,+0.17%,"5,000","22,225","74,959",15.66,"98,694",5.02,4.79,
134,솔루스첨단소재,"72,200","2,100",+3.00%,100,"22,086","30,590",7.38,"81,408",-284.25,-5.10,
135,DL이앤씨,"114,000","2,500",-2.15%,"5,000","22,069","19,359",23.40,"146,646",N/A,N/A,
136,녹십자,"187,000","3,000",+1.63%,"5,000","21,854","11,687",23.09,"9,848",25.34,7.48,
137,KODEX 레버리지,"20,350",225,+1.12%,0,"21,734","106,800",0.61,"9,867,141",N/A,N/A,
138,OCI,"90,900",100,+0.11%,"5,000","21,679","23,849",15.67,"112,022",10.84,-9.89,
139,영원무역,"48,250",550,+1.15%,500,"21,380","44,311",28.11,"60,520",9.28,8.03,
140,현대로템,"19,200",50,+0.26%,"5,000","20,955","109,142",3.37,"179,750",66.90,2.84,
141,농심,"344,000","2,500",+0.73%,"5,000","20,924","6,083",12.78,"17,682",19.60,7.50,
142,TIGER 200,"36,910",190,+0.52%,0,"20,633","55,900",0.00,"259,878",N/A,N/A,
143,씨에스윈드,"48,700",300,-0.61%,500,"20,537","42,171",11.53,"82,698",44.19,8.19,
144,KODEX MSCI Korea TR,"11,885",75,+0.64%,0,"20,514","172,600",3.29,"129,326",N/A,N/A,
145,후성,"21,600",700,+3.35%,500,"20,003","92,607",6.72,"935,207",72.73,2.79,
146,효성첨단소재,"439,000","7,000",+1.62%,"5,000","19,667","4,480",10.37,"23,128",9.16,0.03,
147,휠라홀딩스,"32,000",0,0.00%,"1,000","19,441","60,752",43.76,"109,061",8.27,10.94,
148,롯데정밀화학,"74,700",400,+0.54%,"5,000","19,273","25,800",21.68,"60,132",4.52,12.65,
149,효성티앤씨,"434,000","11,000",+2.60%,"5,000","18,782","4,328",16.91,"25,759",2.66,25.10,
150,TIGER 미국나스닥100,"78,190",830,-1.05%,0,"18,711","23,930",0.01,"95,716",N/A,N/A,
151,한미반도체,"37,250",850,-2.23%,200,"18,424","49,460",6.04,"282,870",22.15,21.03,
152,현대위아,"67,600",200,+0.30%,"5,000","18,384","27,195",6.35,"52,020",50.37,1.96,
153,KODEX 200선물인버스2X,"2,490",25,-0.99%,0,"17,980","722,100",5.34,"80,085,914",N/A,N/A,
154,동원시스템즈,"61,200",600,-0.97%,"5,000","17,863","29,188",13.26,"69,195",27.72,10.97,
155,한샘,"74,800",300,-0.40%,"1,000","17,603","23,534",16.20,"16,007",22.01,10.83,
156,현대백화점,"75,100",200,+0.27%,"5,000","17,575","23,402",18.29,"43,504",11.36,1.65,
157,코오롱인더,"63,500","1,200",+1.93%,"5,000","17,475","27,519",19.83,"98,744",9.86,9.70,
158,효성,"81,800",600,+0.74%,"5,000","17,236","21,071",8.13,"18,917",4.45,-2.26,
159,더존비즈온,"55,700","1,200",+2.20%,500,"16,923","30,383",39.14,"64,823",27.26,15.09,
160,TIGER MSCI Korea TR,"14,960",85,+0.57%,0,"16,815","112,400",14.24,"1,059",N/A,N/A,
161,오뚜기,"454,500",0,0.00%,"5,000","16,689","3,672",11.68,"1,523",15.09,7.93,
162,대웅제약,"143,000","1,000",+0.70%,"2,500","16,569","11,587",6.10,"22,018",143.57,2.38,
163,JB금융지주,"8,410",40,-0.47%,"5,000","16,566","196,983",42.24,"56,620",3.47,10.06,
164,LS,"50,700",0,0.00%,"5,000","16,325","32,200",13.58,"32,120",6.37,3.94,
165,DGB금융지주,"9,610",20,-0.21%,"5,000","16,255","169,146",49.50,"92,755",3.43,6.93,
166,KODEX 단기채권,"103,185",0,0.00%,0,"16,133","15,635",0.00,"16,536",N/A,N/A,
167,두산,"96,500",300,+0.31%,"5,000","15,946","16,524",10.67,"12,477",-55.59,-34.34,
168,한전KPS,"35,400",550,+1.58%,200,"15,930","45,000",7.26,"149,053",13.18,8.23,
169,대웅,"27,300",300,+1.11%,500,"15,873","58,142",4.25,"30,813",15.03,15.10,
170,일진하이솔루스,"43,350","1,450",+3.46%,500,"15,742","36,313",1.92,"150,318",80.88,34.27,
171,KODEX 삼성그룹,"9,165",110,+1.21%,0,"15,562","169,800",0.30,"65,417",N/A,N/A,
172,현대엘리베이,"37,550",100,+0.27%,"5,000","15,326","40,815",29.20,"47,678",24.19,9.78,
173,아시아나항공,"20,550",300,+1.48%,"5,000","15,292","74,412",7.07,"787,575",-3.53,-43.83,
174,아이에스동서,"48,450",650,-1.32%,500,"14,967","30,893",4.24,"29,927",27.75,10.92,
175,롯데칠성,"160,000",0,0.00%,500,"14,846","9,279",8.93,"51,983",18.91,-1.00,
176,LS ELECTRIC,"49,250",150,+0.31%,"5,000","14,775","30,000",17.61,"19,350",18.23,6.15,
177,동국제강,"15,250",0,0.00%,"5,000","14,553","95,433",22.31,"285,475",3.22,3.35,
178,NHN,"38,450",150,+0.39%,500,"14,426","37,518",19.40,"70,054",44.40,1.35,
179,케이카,"29,800",650,+2.23%,500,"14,330","48,087",18.37,"52,696",49.50,15.11,
180,LIG넥스원,"64,600",800,+1.25%,"5,000","14,212","22,000",6.65,"142,172",15.06,8.86,
181,KODEX 종합채권(AA-이상)액티브,"106,145",230,-0.22%,0,"14,142","13,323",0.00,"1,288",N/A,N/A,
182,한일시멘트,"19,900",200,+1.02%,500,"13,783","69,262",2.57,"60,241",13.11,N/A,
183,TIGER 단기통안채,"100,575",10,-0.01%,0,"13,517","13,440",0.88,"17,392",N/A,N/A,
184,대한전선,"1,565",5,+0.32%,100,"13,404","856,473",1.59,"6,747,149",43.47,0.92,
185,TIGER 미국S&P500,"13,495",80,-0.59%,0,"13,320","98,700",0.00,"413,562",N/A,N/A,
186,ESR켄달스퀘어리츠,"6,160",10,-0.16%,"1,000","13,126","213,089",32.02,"69,525",162.11,1.14,
187,롯데리츠,"5,380",60,+1.13%,500,"13,072","242,969",9.60,"51,333",33.62,1.68,
188,한국앤컴퍼니,"13,700",0,0.00%,500,"13,006","94,935",9.69,"36,723",5.26,5.08,
189,티와이홀딩스,"25,200",100,-0.40%,500,"12,834","50,929",5.06,"6,898",2.17,N/A,
190,명신산업,"24,450",50,+0.20%,500,"12,829","52,470",2.62,"94,490",-10.60,-67.39,
191,신풍제약,"24,200","1,250",-4.91%,500,"12,822","52,985",10.36,"388,490","4,033.33",1.72,
192,PI첨단소재,"43,600","1,600",+3.81%,500,"12,804","29,366",12.81,"85,393",21.89,15.62,
193,에스엘,"26,450",0,0.00%,500,"12,750","48,203",14.82,"42,561",8.77,4.74,
194,현대두산인프라코어,"6,440",120,+1.90%,"1,000","12,715","197,435",9.92,"2,218,653",5.51,6.47,
195,롯데렌탈,"34,450",400,+1.17%,"5,000","12,620","36,634",1.66,"51,404",11.95,6.73,
196,DL,"60,200","1,600",+2.73%,"5,000","12,615","20,956",11.74,"51,343",1.91,11.84,
197,코리안리,"10,450",150,-1.42%,500,"12,579","120,369",31.88,"197,429",8.01,5.78,
198,TIGER 2차전지테마,"19,475",250,+1.30%,0,"12,571","64,550",0.28,"924,525",N/A,N/A,
199,TIGER 미국테크TOP10 INDXX,"11,850",175,-1.46%,0,"12,531","105,750",0.57,"589,458",N/A,N/A,
200,진원생명과학,"15,850",400,+2.59%,"1,000","12,302","77,614",12.61,"1,002,464",-47.89,-30.43,
